Frequency_Hz,Frequency_GHz,Er,h_mm,W_mm,L_mm,Leff_mm,dL_mm,eps_eff,G1_S,G12_S,Rin_edge_Ohm,Feed_W_mm,Feed_L_mm,Ground_L_mm,Ground_W_mm,min_S11_dB(theoretical)
3000000000,3,4.4,1.6,30.40797997,23.4141354,24.88656114,0.73621287,4.030965919,0.000969285,0.000546711,329.8159867,3.058974983,6.221640286,33.0141354,40.00797997,-2.654014343
3500000000,3.5,4.4,1.6,26.06398283,19.97254714,21.44053879,0.733995826,3.990009561,0.000969285,0.00054296,330.6342166,3.058974983,5.360134697,29.57254714,35.66398283,-2.647344087
4000000000,4,4.4,1.6,22.80598497,17.38551894,18.84900527,0.731743164,3.952615415,0.000969285,0.000539476,331.3975444,3.058974983,4.712251318,26.98551894,32.40598497,-2.641151786
4500000000,4.5,4.4,1.6,20.27198664,15.36896175,16.82788787,0.729463057,3.918295344,0.000969285,0.00053623,332.1122111,3.058974983,4.206971967,24.96896175,29.87198664,-2.635380636
5000000000,5,4.4,1.6,18.24478798,13.75230567,15.20663025,0.727162289,3.886650001,0.000969285,0.000533193,332.7834768,3.058974983,3.801657563,23.35230567,27.84478798,-2.62998306
5500000000,5.5,4.4,1.6,16.58617089,12.42692215,13.87661521,0.724846529,3.857349087,0.000969285,0.000530343,333.415814,3.058974983,3.469153803,22.02692215,26.18617089,-2.624918842
6000000000,6,4.4,1.6,15.20398998,11.32033023,12.76537132,0.722520543,3.830116726,0.000969285,0.000527662,334.0130559,3.058974983,3.19134283,20.92033023,24.80398998,-2.620153705
6500000000,6.5,4.4,1.6,14.03445229,10.38230435,11.82268108,0.720188362,3.804720448,0.000969285,0.000525132,334.5785117,3.058974983,2.955670269,19.98230435,23.63445229,-2.615658213
7000000000,7,4.4,1.6,13.03199141,9.576933763,11.01264059,0.717853411,3.78096279,0.000969285,0.000522739,335.1150568,3.058974983,2.753160146,19.17693376,22.63199141,-2.611406914
7500000000,7.5,4.4,1.6,12.16319199,8.877856639,10.30889386,0.715518608,3.758674796,0.000969285,0.000520472,335.6252045,3.058974983,2.577223464,18.47785664,21.76319199,-2.607377666
8000000000,8,4.4,1.6,11.40299249,8.265280289,9.69165319,0.71318645,3.737710934,0.000969285,0.000518318,336.1111639,3.058974983,2.422913298,17.86528029,21.00299249,-2.603551096
8500000000,8.5,4.4,1.6,10.73222822,7.724052284,9.145770443,0.71085908,3.717945079,0.000969285,0.000516268,336.5748863,3.058974983,2.286442611,17.32405228,20.33222822,-2.599910161
9000000000,9,4.4,1.6,10.13599332,7.242373956,8.659450629,0.708538336,3.69926731,0.000969285,0.000514314,337.0181034,3.058974983,2.164862657,16.84237396,19.73599332,-2.5964398
9500000000,9.5,4.4,1.6,9.602519989,6.810919744,8.223371353,0.706225805,3.681581327,0.000969285,0.000512449,337.4423586,3.058974983,2.055842838,16.41091974,19.20251999,-2.593126641
10000000000,10,4.4,1.6,9.12239399,6.422220402,7.830066103,0.70392285,3.664802353,0.000969285,0.000510665,337.8490331,3.058974983,1.957516526,16.0222204,18.72239399,-2.589958762
10500000000,10.5,4.4,1.6,8.687994276,6.070222206,7.473483504,0.701630649,3.648855423,0.000969285,0.000508958,338.2393674,3.058974983,1.868370876,15.67022221,18.28799428,-2.586925494
11000000000,11,4.4,1.6,8.293085445,5.749966177,7.148666607,0.699350215,3.633673968,0.000969285,0.00050732,338.6144798,3.058974983,1.787166652,15.34996618,17.89308545,-2.584017251
11500000000,11.5,4.4,1.6,7.932516513,5.457350849,6.851515689,0.69708242,3.619198646,0.000969285,0.000505748,338.9753811,3.058974983,1.712878922,15.05735085,17.53251651,-2.581225396
12000000000,12,4.4,1.6,7.601994992,5.188954226,6.578610258,0.694828016,3.605376359,0.000969285,0.000504237,339.3229885,3.058974983,1.644652564,14.78895423,17.20199499,-2.57854212
12500000000,12.5,4.4,1.6,7.297915192,4.941898388,6.32707368,0.692587646,3.592159439,0.000969285,0.000502783,339.6581362,3.058974983,1.58176842,14.54189839,16.89791519,-2.57596034
13000000000,13,4.4,1.6,7.017226146,4.713745267,6.094468986,0.69036186,3.579504949,0.000969285,0.000501382,339.981585,3.058974983,1.523617247,14.31374527,16.61722615,-2.573473614
13500000000,13.5,4.4,1.6,6.757328881,4.502415526,5.878717778,0.688151126,3.5673741,0.000969285,0.000500032,340.2940307,3.058974983,1.469679444,14.10241553,16.35732888,-2.57107607
